DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-09-06,2024-09-08,"""esk pohr mldee 2024 finle Plze""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, RP 2x30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,,2024-08-26,https://shooting.cz/cs/souteze/2024-08-17-klon-cesky-pohar-mladeze-2024-4-kolo-plzen
2024-09-06,2024-09-08,"""Kontroln zvod reprezentace 2024 Finle""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-09-06-kontrolni-zavod-reprezentace-2024-finale
2024-09-07,2024-09-07,"""Boreck pohr 2024 - 5.kolo""",Borek,"""2. kategorie""",Mui,"""SP 30+30""",,,42,2024-05-11,https://shooting.cz/cs/souteze/2024-09-07-borecky-pohar-2024-5-kolo-1
2024-09-07,2024-09-07,"""Memoril Frantika Rejmana""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-09-05,https://shooting.cz/cs/souteze/2024-09-07-memorial-frantiska-rejmana-1
2024-09-08,2024-09-08,"""Kelsk liga 2024 - 5.kolo + FINLE""",Kel,"""2. kategorie""",Mui,"""SP 30+30""",,,464,,https://shooting.cz/cs/souteze/2024-09-08-kelcska-liga-2024-5-kolo-finale-1
2024-09-09,2024-09-12,"""Memoril Milana Albrechta""",Hlun,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., Veterni""","""SM 60, LM 60""",,,34,2024-09-12,https://shooting.cz/cs/souteze/2024-09-09
2024-09-14,2024-09-14,"""Chaloupeck sportka""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-09-12,https://shooting.cz/cs/souteze/2024-09-14-chaloupecka-sportka-1
2024-09-14,2024-09-14,"""Podzimn cena Pezletic""",Ctnice,"""2. kategorie""","""Mui, eny, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,190,,https://shooting.cz/cs/souteze/2024-09-14-podzimni-cena-prezletic
2024-09-14,2024-09-14,"""VC Pelhimova, Memoril J.Veverky""",Pelhimov,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,353,,https://shooting.cz/cs/souteze/2024-09-14-vc-pelhrimova-memorial-j-veverky-1
2024-09-15,2024-09-15,"""Memoril Jana Vondrka  XVII. ronk""","""Lukov u Lankrouna""","""2. kategorie""",Mui,"""PePiC, PeRe, KPiC, PePiV, PePuC, PePuV, KPuC""","""SSKP ORLICE st nad Orlic""",,262,2024-09-06,https://shooting.cz/cs/souteze/2024-09-15-memorial-jana-vondracka-xvii-rocnik
2024-09-15,2024-09-15,"""Pohr SSK Bystice n.P.""","""Bystice nad Perntejnem""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 60, LM 60""",,,303,,https://shooting.cz/cs/souteze/2024-09-15-pohar-ssk-bystrice-n-p-1
2024-09-15,2024-09-15,"""VC Pelhimova, Memoril J.Veverky""",Pelhimov,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SP 30+30, VP 30+30""",,,353,,https://shooting.cz/cs/souteze/2024-09-15-vc-pelhrimova-memorial-j-veverky-1
2024-09-20,2024-09-22,"""Mistrovstv R 2024 kule""",Plze,"""1. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 30+30, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""","""esk steleck svaz""",,,2024-09-10,https://shooting.cz/cs/souteze/2024-09-20-mistrovstvi-cr-2024-kule
2024-09-21,2024-09-21,"""Krhanick pedovky""",Krhanice,"""2. kategorie""",,"""PePiC, PeRe, KPiC, DPi, PePiV""",,,117,,https://shooting.cz/cs/souteze/2024-09-21-krhanicke-predovky-1
2024-09-21,2024-09-21,"""Manuick pedovky""",Manuice,"""2. kategorie""",,"""PePiC, PeRe, KPiC, DPi, PePiV, PePuC, PePuV, KPuC, KPuV""","""SSK Manuice 0200""",,200,2024-09-19,https://shooting.cz/cs/souteze/2024-09-21-manusicke-predovky-1
2024-09-21,2024-09-21,"""Podzimn Cena Chaloupek""","""Praha 9""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,134,,https://shooting.cz/cs/souteze/2024-09-21-podzimni-cena-chaloupek
2024-09-21,2024-09-21,"""VC Buchlovic""",Buchlovice,"""2. kategorie""",Mui,"""StP 3x20, VP 15+15""",,,209,,https://shooting.cz/cs/souteze/2024-09-21-vc-buchlovic-1
2024-09-21,2024-09-21,"""Velk cena amatr""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-09-19,https://shooting.cz/cs/souteze/2024-09-21
2024-09-26,2024-10-09,"""Junior World Championship Lima""",Lima,"""repre-tmy, Sledovan, Svt""","""Junioi, Juniorky""","""VzPi 60, SP 30 men, RP 2x30, VzPu 60 ISSF, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF, Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-11-01-junior-world-championship-lima
2024-09-28,2024-09-28,"""Velk cena Letova""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-09-26,https://shooting.cz/cs/souteze/2024-09-28-1
2024-09-29,2024-09-29,"""Honba za rekordy Petra Hube 2024""",,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SpVzPi 30+30, StVzPi 3x20""",,,373,2024-09-29,https://shooting.cz/cs/souteze/2024-09-29-honba-za-rekordy-petra-hubace-2024
2024-09-29,2024-09-29,"""Pohr SSK Mostit""","""Velk Mezi""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 60, LM 60""",,,287,,https://shooting.cz/cs/souteze/2024-09-29-pohar-ssk-mostiste-1
2024-09-29,2024-09-29,"""Poszavsk pohr, 65.ronk""",Krhanice,"""2. kategorie""",,"""SP 30+30""",,,117,,https://shooting.cz/cs/souteze/2024-09-29-posazavsky-pohar-65-rocnik
