DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-05-25,2024-05-26,"""esk pohr mldee 2024 2.kolo Karlovy Vary - Bezov""","""Karlovy Vary - Bezov""","""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,115,2024-05-13,https://shooting.cz/cs/souteze/2024-05-25-cesky-pohar-mladeze-2024-2-kolo-karlovy-vary-brezova
2024-05-25,2024-05-26,"""esk pohr mldee 2024 2.kolo Ostrava""","""Ostrava - Poruba""","""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,368,2024-05-13,https://shooting.cz/cs/souteze/2024-05-25-klon-klon-cesky-pohar-mladeze-2024-2-kolo-ostrava
2024-05-26,2024-05-26,"""Buchlovsk pedovky""",Buchlovice,"""2. kategorie""",Mui,"""PePiC, PeRe, PePuC, PePuV""",,,209,,https://shooting.cz/cs/souteze/2024-05-26-buchlovske-predovky
2024-05-26,2024-05-26,"""Cena SSK r n.S.""","""Velk Mezi""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,161,,https://shooting.cz/cs/souteze/2024-05-26-cena-ssk-zdar-n-s
2024-05-26,2024-05-26,"""Kelsk liga 2024 - 2.kolo""",Kel,"""2. kategorie""",Mui,"""SP 30+30""",,,464,,https://shooting.cz/cs/souteze/2024-05-26-kelcska-liga-2024-2-kolo-1
2024-05-26,2024-05-26,"""Memoril Miloe Slaniny 2024""",Karvin,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st.""","""LP 60""",,,373,2024-05-26,https://shooting.cz/cs/souteze/2024-05-26-memorial-milose-slaniny-2024
2024-05-31,2024-06-02,"""Oblastn steleck liga kule Karvin 2024 - 3. kolo + PM 2024 - 2. kolo (RP 2x30)""","""Karvin - Nov Msto""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15""",,,373,,https://shooting.cz/cs/souteze/2024-05-31-oblastni-strelecka-liga-kule-karvina-2024-3-kolo-cpm-2024-2-kolo-rp-2x30-1
2024-05-31,2024-06-07,"""ISSF World Cup Munich""",Mnichov,"""repre-tmy, Sledovan, Svt""","""Mui, eny""","""VzPi 60, SP 30 men, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-02-10-issf-world-cup-granada-clone-911039
2024-06-01,2024-06-01,"""Jarn cena Pezletic""",Ctnice,"""2. kategorie""","""Mui, eny, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,190,,https://shooting.cz/cs/souteze/2024-06-01-jarni-cena-prezletic-1
2024-06-01,2024-06-01,"""Pohr J. Krofty""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-05-30,https://shooting.cz/cs/souteze/2024-06-01
2024-06-01,2024-06-01,"""Poszavsk tictka Memorial Jaroslava Birndta""",Krhanice,"""3. kategorie""",,"""SP 30 men""",,,117,,https://shooting.cz/cs/souteze/2024-06-01-posazavska-tricitka-memorial-jaroslava-birndta-1
2024-06-01,2024-06-01,"""VC Krhanic""",Krhanice,"""2. kategorie""",,"""StP 3x20""",,,117,,https://shooting.cz/cs/souteze/2024-06-01-vc-krhanic-1
2024-06-01,2024-06-01,"""VC SSK 0311-Most 2024""",epirohy,"""2. kategorie""",Mui,"""PePiC, PeRe, KPiC, PePiV, PePuC, PePuV, KPuC, KPuV""",,,311,2024-06-01,https://shooting.cz/cs/souteze/2024-06-01-vc-ssk-0311-most-2024
2024-06-01,2024-06-01,"""VC SSK Brnit""","""Brnit ""","""2. kategorie""","""Mui, eny, Dorostenci st.""","""SM 60 ISSF, LM 60 ISSF""",,,10,2024-06-01,https://shooting.cz/cs/souteze/2024-06-01-vc-ssk-brniste-1
2024-06-02,2024-06-02,"""Lukovsk sportka XV. ro4n9k""","""Lukov u Lankrouna""","""2. kategorie""",Mui,"""SP 30+30, VP 30+30""","""SSKP ORLICE st nad Orlic""",,262,2024-05-24,https://shooting.cz/cs/souteze/2024-06-02-lukovska-sportka-xv-ro4n9k
2024-06-02,2024-06-02,"""Memoril Oldicha Gavendy 4. ronk""",Opava,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,4,2024-05-30,https://shooting.cz/cs/souteze/2024-06-02-memorial-oldricha-gavendy-4-rocnik
2024-06-02,2024-06-02,"""Steleck liga Horn Cerekev 2024 - 3.kolo, Pohr AVZO Horn Cerekev""","""Horn Cerekev""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,252,2024-06-02,https://shooting.cz/cs/souteze/2024-06-02-strelecka-liga-horni-cerekev-2024-3-kolo-pohar-avzo-horni-cerekev
2024-06-07,2024-06-09,"""International Championship of Veterans""",Plze,"""1. kategorie, Svt""","""Veterni 45 - 54 let, Veterni 65+ let, SH1, eny, Veterni""","""VzPi 40, SP 30+30, SP 30 men, VzPu 40 ISSF""",,,15,2024-05-30,https://shooting.cz/cs/souteze/2024-06-07-international-championship-of-veterans
2024-06-08,2024-06-08,"""ervnov stlen """,Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,301,2024-06-05,https://shooting.cz/cs/souteze/2024-06-08-cervnove-strileni-1
2024-06-08,2024-06-08,"""Dvorsk ance""",Dvory,"""2. kategorie""",,"""VP 30+30""",,,37,,https://shooting.cz/cs/souteze/2024-06-08-dvorska-sance
2024-06-10,2024-06-19,"""ISSF World Cup Lonato""",Lonato,"""repre-tmy, Sledovan""","""Mui, eny""","""Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-02-04-issf-world-cup-shotgun-rabat-clone-216992
2024-06-14,2024-06-16,"""Kontroln sledovan zvod 2024 3.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""LP 60, StP 3x20, VP 30+30, SM 60 ISSF, LM 60 ISSF""",,,,,https://shooting.cz/cs/souteze/2024-06-14-kontrolni-sledovany-zavod-2024-3-kolo
2024-06-14,2024-06-16,"""Kontroln zvod reprezentace 2024 3.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-06-14-kontrolni-zavod-reprezentace-2024-3-kolo
2024-06-15,2024-06-15,"""Aktov sportka""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-06-13,https://shooting.cz/cs/souteze/2024-06-15-akatova-sportka-1
2024-06-15,2024-06-15,"""Boreck pohr 2024 - 2.kolo""",Borek,"""2. kategorie""",Mui,"""SP 30+30""",,,42,2024-05-11,https://shooting.cz/cs/souteze/2024-06-15-borecky-pohar-2024-2-kolo-1
2024-06-15,2024-06-15,""" Memoril Fr. Myky""",Dvory,"""2. kategorie""",,"""SM 60, LM 60""",,,37,,https://shooting.cz/cs/souteze/2024-06-15-memorial-fr-mysky
2024-06-16,2024-06-16,"""Lukovsk kule  XVII. ronk +  pebor Pardubickho a  Krlovhradeckho kraje""","""Lukov u Lankrouna""","""2. kategorie, Kraj""",Mui,"""PePiC, PeRe, KPiC, PePiV, PePuC, PePuV, KPuC""","""SSKP ORLICE st nad Orlic""",,262,2024-06-07,https://shooting.cz/cs/souteze/2024-06-16-lukovska-kule-xvii-rocnik
2024-06-21,2024-06-23,"""Oblastn steleck liga kule Karvin 2024 - 4. kolo + PM 2024 - 3. kolo (RP 2x30)""","""Karvin - Nov Msto""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15""",,,373,,https://shooting.cz/cs/souteze/2024-06-21-oblastni-strelecka-liga-kule-karvina-2024-4-kolo-cpm-2024-3-kolo-rp-2x30-1
2024-06-22,2024-06-22,"""Letn Cena Chaloupek""","""Praha 9""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,134,,https://shooting.cz/cs/souteze/2024-06-22-letni-cena-chaloupek-1
2024-06-22,2024-06-22,""" VC SSK+AVZO Semily - Historick zbran""",Semily,"""2. kategorie""",,"""PeRe, PeRe50m, KPiC, PePiV, PePuV, KPuV, Werndl""","""Michal Saska""",,731,2024-10-05,https://shooting.cz/cs/souteze/2024-06-22-vc-ssk-avzo-semily-historicke-zbrane-1
2024-06-23,2024-06-23,"""VC SSK Prosimice""",Prosimice,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,125,2024-06-23,https://shooting.cz/cs/souteze/2024-06-23-vc-ssk-prosimerice
2024-06-23,2024-06-23,"""Velk cena Bystice n.P.""","""Bystice nad Perntejnem""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,303,,https://shooting.cz/cs/souteze/2024-06-23-velka-cena-bystrice-n-p-1
2024-06-23,2024-06-23,"""Vrchlabsk libovolka I. a sportka""",Vrchlab,"""2. kategorie, Pi""","""Mui, eny, Dorostenci st., Dorostenky st.""","""SP 30+30, LP 60""",,,95,2024-06-23,https://shooting.cz/cs/souteze/2024-06-23-vrchlabska-libovolka-i-a-sportka-1
2024-06-24,2024-06-27,"""Olympida dt a mldee 2024""","""esk Budjovice""","""1. kategorie, Sledovan""","""Dorostenci st., Dorostenky st.""","""VzPi 40, VzPu 40 ISSF""","""Kraj Jihoesk","  SS z.s. - Jihoesk krajsk sdruen""",,,2024-05-27
2024-06-29,2024-06-29,"""Polabsk pohr""",podbrady,"""2. kategorie""",,"""SM 60, LM 60""","""Koln 0348""",,32,,https://shooting.cz/cs/souteze/2024-06-29-polabsky-pohar-1
2024-06-29,2024-06-29,"""VC Buchlovic""",Buchlovice,"""2. kategorie""","""Mui, eny, Junioi""","""SP 30+30, VP 15+15""",,,209,,https://shooting.cz/cs/souteze/2024-06-29-vc-buchlovic-1
2024-06-29,2024-06-30,"""esk pohr mldee 2024 3.kolo Manuice""",Manuice,"""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,200,2024-06-17,https://shooting.cz/cs/souteze/2024-06-29-cesky-pohar-mladeze-2024-3-kolo-manusice
2024-06-29,2024-06-30,"""esk pohr mldee 2024 3.kolo Ostrava""","""Ostrava - Poruba""","""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,368,2024-06-17,https://shooting.cz/cs/souteze/2024-06-29-cesky-pohar-mladeze-2024-3-kolo-ostrava
2024-06-30,2024-06-30,"""Kelsk liga 2024 - 3.kolo, CENA KELE""",Kel,"""2. kategorie""",Mui,"""SP 30+30""",,,464,,https://shooting.cz/cs/souteze/2024-06-30-kelcska-liga-2024-3-kolo-cena-kelce
2024-07-05,2024-07-05,"""Klatovsk karafit""",Klatovy,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Senioi""","""SP 30+30, LP 60""",,,173,2024-07-04,https://shooting.cz/cs/souteze/2024-07-05-klatovsky-karafiat-1
2024-07-06,2024-07-06,"""59. ronk Velk ceny msta Uhersk Ostroh a 45. Ronk memorilu Stanislava Kivka""","""Uhersk Ostroh""","""2. kategorie""",Mui,"""PePiC, PeRe, PeRe50m, KPiC, DPi, PePiV, PePuC, PePuV, KPuC, DPu, DPuK, KPuV, PePuC100m, PePuV100m, KPu100""",,,210,2024-07-06,https://shooting.cz/cs/souteze/2024-07-06-59-rocnik-velke-ceny-mesta-uhersky-ostroh-a-45-rocnik-memorialu-stanislava-krivaka
2024-07-06,2024-07-06,"""Velk cena Chotboe""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SP 30+30""",,,120,,https://shooting.cz/cs/souteze/2024-07-06-velka-cena-chotebore-1
2024-07-09,2024-07-16,"""ISSF Junior World Cup Porpetto""",Porpetto,"""repre-tmy, Sledovan, Svt""","""Junioi, Juniorky""","""Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-07-09-issf-junior-world-cup-porpetto
